id,theme,subTheme,name,latitude,longitude
PLAC-90,Community Use,Public Buildings,Melbourne Town Hall,-37.8150754791411, 144.966542722283
PLAC-91,Office,Office,Former Royal Mint,-37.8121838748712, 144.957055454136
PLAC-92,Mixed Use,Retail/Office,DFO South Wharf,-37.824887401234, 144.949794297819
PLAC-93,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,-37.8216381244891, 144.971049530478
PLAC-94,Community Use,Public Buildings,Sidney Myer Music Bowl,-37.8233471608733, 144.974686151365
PLAC-95,Purpose Built,Casino,Crown Entertainment Complex,-37.8235761092516, 144.957312880653
PLAC-96,Health Services,Public Hospital,The Royal Victorian Eye & Ear Hospital,-37.8087522829868, 144.976268275082
PLAC-97,Office,Office,SBS (Special Broadcasting Service),-37.8176921210305, 144.968740597156
PLAC-98,Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,-37.8174831423197, 144.969899048343
PLAC-99,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,-37.8178516571684, 144.968963600783
PLAC-100,Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,-37.8188662730911, 144.9839700954
PLAC-101,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,-37.8152178789077, 144.941617889032
PLAC-102,Purpose Built,Film & RV Studio,Central City Studios,-37.8142318521296, 144.935655305362
PLAC-103,Purpose Built,Film & RV Studio,Channel 7 - Melbourne Broadcast Centre,-37.8158572333481, 144.94582326909
PLAC-104,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Docklands Park,-37.8209956785618, 144.946781702342
PLAC-105,Mixed Use,Retail/Office,Waterfront City,-37.815056661803, 144.939136876334
